name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"New York City,USA",2024-01-01T00:00:00,5.7,2.7,-0.8,63.08,0,0,,0,0,14.8,14.5,250,1016.6,99.6,16,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-01-01T01:00:00,5.7,2.6,-0.8,63.26,0,0,,0,0,18.4,14.5,260,1016.4,100,16,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-01-01T02:00:00,5.7,3.2,-0.8,63.39,0,0,,0,0,16.6,11.1,270,1016.2,100,16,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-01-01T03:00:00,5,2.5,-0.7,66.34,0,0,,0,0,14.8,10.7,263,1016.2,100,16,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-01-01T04:00:00,5,3.3,-1.2,64.25,0,0,,0,0,13,7.5,250,1015.8,100,16,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-01-01T05:00:00,5,3.3,-0.7,66.74,0,0,,0,0,7.6,7.2,253,1015.8,99,16,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-01-01T06:00:00,5,3.3,-0.7,66.64,0,0,,0,0,7.6,7.6,262,1016.3,100,16,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-01-01T07:00:00,4.3,3.1,0.6,76.83,0.014,100,rain,0,0,7.6,5.5,295,1016.7,100,15.8,0,0,0,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-01-01T08:00:00,4.9,4.9,1.6,79.22,0.019,100,rain,0,0,7.6,0.3,345,1017.1,100,15.9,11,0,0,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
"New York City,USA",2024-01-01T09:00:00,5,2.8,1.1,76.31,0.006,100,rain,0,0,7.6,9.2,330,1017.4,100,16,70,0.3,1,10,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
